2024-02-20 17:25:20,211 INFO    StreamThr :26346 [internal.py:wandb_internal():86] W&B internal server running at pid: 26346, started at: 2024-02-20 17:25:20.211215
2024-02-20 17:25:20,212 DEBUG   HandlerThread:26346 [handler.py:handle_request():146] handle_request: status
2024-02-20 17:25:20,217 INFO    WriterThread:26346 [datastore.py:open_for_write():87] open: /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/3m/vdn/train/wandb/run-20240220_172520-90rk0prl/run-90rk0prl.wandb
2024-02-20 17:25:20,218 DEBUG   SenderThread:26346 [sender.py:send():382] send: header
2024-02-20 17:25:20,233 DEBUG   SenderThread:26346 [sender.py:send():382] send: run
2024-02-20 17:25:20,785 INFO    SenderThread:26346 [dir_watcher.py:__init__():211] watching files in: /home/uosai/바탕화면/off-policy/offpolicy/scripts/results/StarCraft2/3m/vdn/train/wandb/run-20240220_172520-90rk0prl/files
2024-02-20 17:25:20,785 INFO    SenderThread:26346 [sender.py:_start_run_threads():1136] run started: 90rk0prl with start time 1708417520.213933
2024-02-20 17:25:20,793 DEBUG   HandlerThread:26346 [handler.py:handle_request():146] handle_request: check_version
2024-02-20 17:25:20,793 DEBUG   SenderThread:26346 [sender.py:send_request():409] send_request: check_version
2024-02-20 17:25:20,875 DEBUG   HandlerThread:26346 [handler.py:handle_request():146] handle_request: run_start
2024-02-20 17:25:20,883 DEBUG   HandlerThread:26346 [system_info.py:__init__():27] System info init
2024-02-20 17:25:20,883 DEBUG   HandlerThread:26346 [system_info.py:__init__():42] System info init done
2024-02-20 17:25:20,883 INFO    HandlerThread:26346 [system_monitor.py:start():194] Starting system monitor
2024-02-20 17:25:20,883 INFO    SystemMonitor:26346 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-20 17:25:20,884 INFO    HandlerThread:26346 [system_monitor.py:probe():214] Collecting system info
2024-02-20 17:25:20,884 INFO    SystemMonitor:26346 [interfaces.py:start():190] Started cpu monitoring
2024-02-20 17:25:20,884 INFO    SystemMonitor:26346 [interfaces.py:start():190] Started disk monitoring
2024-02-20 17:25:20,885 INFO    SystemMonitor:26346 [interfaces.py:start():190] Started gpu monitoring
2024-02-20 17:25:20,885 INFO    SystemMonitor:26346 [interfaces.py:start():190] Started memory monitoring
2024-02-20 17:25:20,886 INFO    SystemMonitor:26346 [interfaces.py:start():190] Started network monitoring
2024-02-20 17:25:20,898 DEBUG   HandlerThread:26346 [system_info.py:probe():151] Probing system
2024-02-20 17:25:20,903 DEBUG   HandlerThread:26346 [system_info.py:_probe_git():136] Probing git
2024-02-20 17:25:20,916 DEBUG   HandlerThread:26346 [system_info.py:_probe_git():144] Probing git done
2024-02-20 17:25:20,916 DEBUG   HandlerThread:26346 [system_info.py:probe():199] Probing system done
